include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files
Y,Mount Sinai,611661781,physician group,Icahn School of Medicine faculty practice,3725,26,,ALLERGY/IMMUNOLOGY DEPT OF MOUNT SINAI; BISLR MEDICAL GROUPS OF MOUNT SINAI; CARDIO VASCULAR INSTITUTE DEPT OF MT SINAI; CARDIOLOGY DEPT OF MOUNT SINAI; CARDIOTHORACIC SURGERY DEPT OF MT. SINAI; CARDIOVASCULAR DISEASE DEPT OF MOUNT SINAI; DENTAL DEPT OF MT SINAI; DERMATOLOGY DEPT OF MOUNT SINAI; ENDOCRINOLOGY DEPT OF MOUNT SINAI; GASTROENTEROLOGY DEPT OF MOUNT SINAI; GENETICS AND GENOMIC SCIENCES DEPT OF MT SINAI; GERIATRICS MEDICINE DEPT OF MOUNT SINAI; HEMATOLOGY DEPT OF MOUNT SINAI; ICAHN SCHOOL OF MEDICINE AT MOUNT; ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; INFECTIOUS DISEASE DEPT OF MOUNT SINAI; INTERVENTIONAL CARDIOLOGY DEPT OF MOUNT SINAI; MEDICAL ONCOLOGY DEPT OF MOUNT SINAI; MEDICINE DEPT OF MOUNT SINAI; MOUNT SINAI BROOKLYN HEIGHTS MEDICAL GROUP; MOUNT SINAI DOCTORS FACULTY PRACTICE; MOUNT SINAI QUEENS DOCTORS; MT SINAI INTERNAL MEDICINE; MT. SINAI LONG ISLAND CITY PCP; NEPHROLOGY DEPT OF MOUNT SINAI; NEUROLOGY DEPT OF MOUNT SINAI; NEUROSURGERY DEPT OF MOUNT SINAI; NY OBGYN OF MOUNT SINAI; OB/GYN DEPT OF MOUNT SINAI; OPTHALMOLOGY DEPT OF MOUNT SINAI; OTOLARYNGOLOGY DEP. OF MOUNT SINAI; PEDIATRICS DEPT OF MOUNT SINAI; PULMUNARY MEDICINE DEPT OF MOUNT SINAI; RADIATION ONCOLOGY DEPT OF MOUNT SINAI; RHEUMATOLOGY DEPT OF MOUNT SINAI; SLEEP MEDICINE DEPT OF MOUNT SINAI; SURGERY DEPT OF MOUNT SINAI; TISCH DEPARTMENT OF MOUNT SINAI; TRANSPLANT DEPT OF MOUNT SINAI; UROLOGY DEPT OF MT. SINAI
Y,Mount Sinai,800756169,physician group,Mount Sinai Elmhurst faculty practice,889,2,,MOUNT SINAI ELMHURST FACULTY PRACTICE GR; MT. SINAI ELMHURST FACULTY PRACTICE
Y,Mount Sinai,800886397,physician group,Mount Sinai Queens faculty practice,596,8,,ANESTHESIOLOGY DEPT OF MT SINAI QUEENS; FPA HOSP BASED MT SINAI SCHOOL OF MED; MOUNT SINAI DOCTORS AT BROOKLYN HEIGHTS; MOUNT SINAI EMERGENCY DEPARTMENT; MOUNT SINAI EXPRESS CARE; MOUNT SINAI RADIOLOGY ASSOCIATES; MSHQ-ANESTHESIOLOGY DEPT OF MT SINAI; NUCLEAR MEDICINE DEPT OF MT. SINAI; PATHOLOGY HOSPITALIST- MT. SINAI; RADIOLOGY DEPT OF MT. SINAI
Y,Mount Sinai,364734205,physician group,Mount Sinai School of Medicine,322,1,,MOUNT SINAI MARATHON MEDICAL-HOSPITALISTS; MOUNT SINAI SCHOOL OF MEDICINE
Y,Mount Sinai,300607904,physician group,Mount Sinai-Riverside Medical Group,184,1,,MOUNT SINAI-RIVERSIDE MEDICAL GROUP; MT. SINAI RIVERSIDE MEDICAL GROUP; MT. SINAI- RIVERSIDE MEDICAL GROUP
Y,Mount Sinai,611799994,physician group,Icahn School of Medicine,177,0,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
Y,Mount Sinai,301007458,physician group,Mount Sinai Doctors Staten Island,168,1,,MT SINAI DOCTORS STATEN ISLAND MEDICINE; MT. SINAI DOCTORS STATEN ISLAND MEDICINE
Y,Mount Sinai,611781342,physician group,Icahn / Mount Sinai Doctors LIHA,161,1,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; MOUNT SINAI DOCTORS LIHA
Y,Mount Sinai,611895173,physician group,Icahn / Mount Sinai Now,146,1,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; MOUNT SINAI NOW
Y,Mount Sinai,464023734,physician group,Icahn orthopedics,67,1,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; ORTHOPEDIC DEPT OF MOUNT SINAI
Y,NYU Langone,133971298,hospital,"NYU Langone Hospitals (Tisch, Brooklyn, Orthopedic)",409,24,,"NYU HOSPITALS CENTER; NYU LANGONE DIAGNOSTICS, LLC; NYU LANGONE HOME HEALTH CARE; NYU LANGONE HOSPITAL BROOKLYN; NYU LANGONE HOSPITAL LONG ISLAND; NYU LANGONE HOSPITAL SUFFOLK HOSPICE; NYU LANGONE HOSPITAL- SUFFOLK; NYU LANGONE HOSPITALS; NYU LANGONE HOSPITALS RUSK; NYU LANGONE HOSPITALS TISCH; NYU LANGONE ORTHOPEDIC HOSPITAL; NYU LUTHERAN FAMILY HEALTH CENTER-PCP; SUNSET PARK FAMILY HEALTH CENTER AT NYU LANGHORNE; WINTHROP PHYSICIANS ASSISTANTS SERVICES; WINTHROP UNIVERSITY HOSPITAL EEG; WINTHROP UNIVERSITY HOSPITAL EKG; WINTHROP UNIVERSITY HOSPITAL/ANESTHESIOLOGY"
Y,NYU Langone,135562308,physician group,New York University (NYU Langone faculty practice),6379,48,,"NEW YORK UNIVERSITY; NEW YORK UNIVERSITY HEALTH CENTER; NYU 1220 AVENUE P; NYU ANESTHESIA ASSOCIATES; NYU EAST ROCKAWAY PEDIATRICS; NYU EKG ASSOCIATES; NYU EMERGENCY MEDICINE; NYU FACILITY PRACTICE RADIOLOGY; NYU FACULTY GROUP PRACTICE; NYU GREAT NECK MEDICAL; NYU GROUP SURGERY ASSOCIATES; NYU HEALTH SERVICES; NYU INTERNAL MEDICINE ASSOCIATES -MILLER GROUP; NYU LANGONE AMBULATORY CARE REGO PARK; NYU LANGONE CARDIOLOGY ASSOCIATES; NYU LANGONE HUNTINGTON MEDICAL GROUP; NYU LANGONE INTERNAL MEDICINE ASSOCIATES - BAY TER; NYU LANGONE URGENT CARE AT TRINITY; NYU MEDICAL - TRINITY CENTRE; NYU MEDICAL ONCOLOGY ASSOCIATES; NYU RADIOLOGY ASSOCIATES; WFMAU DBA/WINTHROP PATHOLOGY ASSOCIATES; WINTHROP CARDIO AND THOR SURGERY; WINTHROP CARDIOLOGY ASSOCIATES; WINTHROP EMERGENCY PHYSICIANS; WINTHROP ENDOCRINOLOGY, DIABETES AND METABOLISM; WINTHROP FACULTY MEDICAL AFFILIATES UFPC; WINTHROP GASTROENTEROLOGY; WINTHROP HOSPITALIST ASSOCIATES, PC; WINTHROP INFECTIOUS DISEASE ASSOCIATES UFPC; WINTHROP INTERNAL MEDICINE ASSOCIATES; WINTHROP ISLAND WIDE MEDICAL ASSOCIATES; WINTHROP MEDICAL AFFILIATES @ NORTH BABYLON; WINTHROP NEPHROLOGY ASSOCIATES, PC; WINTHROP NEUROSCIENCE ASSOCIATES; WINTHROP ONCOLOGY/HEMATOLOGY ASSOCIATES; WINTHROP ORTHOPAEDIC ASSOCIATES; WINTHROP PATHOLOGY SERVICES, PC; WINTHROP PEDIATRIC ASSOCIATES, P.C.; WINTHROP PEDIATRIC ASSOCIATION; WINTHROP PEDS-DEPT OF NEONATOLOGY; WINTHROP PHYSICAL THERAPY PLLC; WINTHROP PULMONARY ASSOCIATES; WINTHROP RADIOLOGY ASSOCIATES PC; WINTHROP RHEUMATOLOGY ALLERGY AND IMMUNOLOGY PC; WINTHROP SURGICAL ASSOCIATES, P.C.; WINTHROP UROLOGY PC"
Y,NYU Langone,452439597,physician group,NYU Langone Hospital-Long Island faculty (Winthrop),131,0,,WINTHROP FACULTY MEDICAL AFFILIATES UNIV
Y,NYU Langone,472665045,physician group,Winthrop Community Medical Affiliates,68,5,,WINTHROP COMMUNITY MEDICAL AFFILIATES PC; WINTHROP FP HMO CLEANUP
Y,NYU Langone,134000622,physician group,NYU Imaging,39,1,,NYU IMAGING INC; NYU IMAGING INC.
Y,NYU Langone,135598093,physician group,NYU Langone Huntington Medical Group,0,3,,NYU LANGONE HUNTINGTON MEDICAL GROUP
Y,NYP,133957095,hospital,"NewYork-Presbyterian Hospital (Columbia, Weill Cornell, Allen, Lower Manhattan)",21,12,,COLUMBIA PRESBYTERIAN MEDICAL CENTER LAB; NEW YORK PRESBYTERIAN BROOKLYN METHODIST HOSPITAL; NEW YORK PRESBYTERIAN HOSPITAL; NEW YORK PRESBYTERIAN HOSPITAL-ALLEN HOSPITAL; NEW YORK-PRESBYTERIAN HOSPITAL WEILL CORNELL MEDIC; NEW YORK-PRESBYTERIAN WESTCHESTER; NY PRESBYTERIAN HOSP-PAYNE WHITNEY WESTCHESTER; NY PRESBYTERIAN HOSP-WEILL CORNELL MEDICAL CENTER; THE NEW YORK AND PRESBYTERIAN HOSPITAL
Y,NYP,111631796,hospital,NYP Brooklyn Methodist Hospital,7,0,,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST
Y,NYP,111839362,hospital,NYP Queens,0,3,,NEW YORK-PRESBYTERIAN/QUEENS
?,NYP,113124294,hospital,NYP Brooklyn Methodist Hospital,0,1,NPPES: Park Slope OB/GYN PC (payer lists as NYP Brooklyn Methodist),NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL
Y,NYP,131624190,hospital,NYP Westchester Behavioral Health (Payne Whitney),0,1,,NY PRESBYTERIAN HOSP-PAYNE WHITNEY WESTCHESTER
Y,NYP,462333282,hospital,NYP Brooklyn Methodist Hospital,0,1,,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL
Y,NYP,274719998,physician group,NYP Medical Group Hudson Valley,0,2,,NEW YORK-PRESBYTERIAN MEDICAL GROUP/HUDSON VALLEY; NEW YORK-PRESBYTERIAN MEDICAL GROUP/QUEENS
Y,NYP,131623978,physician group,NYP Medical Group Queens,0,1,,NEW YORK-PRESBYTERIAN MEDICAL GROUP/QUEENS
Y,WMC,133964321,hospital,"Westchester County Health Care Corp (WMC, MidHudson Regional)",10,7,,MID-HUDSON REGIONAL HOSPITAL OF WESTCHESTER; WESTCHESTER COUNTY HEALTH CARE CORP; WESTCHESTER MEDICAL CENTER
Y,WMC,141347717,hospital,Bon Secours Community Hospital (WMCHealth),4,2,,BON SECOURS COMMUNITY HOSPITAL
Y,WMC,264709927,physician group,WMC Advanced Physician Services,1487,3,,WESTCHESTER MEDICAL CENTER ADVANCED PHYS; WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN
N,WMC,461883875,physician group,WMC Physician Practices,157,0,"NPPES: WV/PA/OH providers, not WMC",WMC PHYSICIAN PRACTICES INC
Y,White Plains,131740130,hospital,White Plains Hospital,287,5,,URGENT CARE CENTER AT WHITE PLAINS HOSPITAL; WHITE PLAINS HOSPITAL CENTER; WHITE PLAINS HOSPITAL CENTER EMERGENCY PHYSICIANS
Y,Northwell,111639818,hospital,Mather Hospital,361,3,,JOHN T MATHER MEMORIAL HOSPITAL; JOHN T. MATHER HOSPITAL-EMERGENCY MEDICINE; JOHN T. MATHER HOSPITALISTS
Y,Northwell,111630914,hospital,Huntington Hospital,119,5,,HUNTINGTON HOSP INTENSIVE CARE PHYS; HUNTINGTON HOSPITAL ASSOCIATION; HUNTINGTON HOSPITAL PATHOLOGY DEPT.
Y,Northwell,131740118,hospital,Northern Westchester Hospital,96,10,,NORTHERN WESTCHESTER HOSPITAL ASSOCIATIO; NORTHERN WESTCHESTER HOSPITAL CENTER; NORTHERN WESTCHESTER HOSPITAL-YORKTOWN IMAGING
Y,Northwell,111667761,hospital,South Shore University Hospital (Southside),47,4,,SOUTH SHORE UNIVERSITY HOSPITAL; SOUTHSIDE HOSPITAL; SOUTHSIDE HOSPITAL DEPT. OF RADIOLOGY
Y,Northwell,112241326,hospital,Long Island Jewish Forest Hills / LIJ,44,6,,LIJ RADIOLOGY PRIVATE PRACTICE; LONG ISLAND JEWISH FOREST HILLS; LONG ISLAND JEWISH MED CTR RAD-ONCO; LONG ISLAND JEWISH MEDICAL CENTER; LONG ISLAND JEWISH MEDICAL CENTER-PROJECT OUTREACH; LONG ISLAND JEWISH MEDICAL CTR; LONG ISLAND JEWISH VALLEY STREAM; STEVEN AND ALEXANDRA COHEN CHILDRENS MEDICAL CTR
Y,Northwell,131725076,hospital,Phelps Hospital,41,3,,PHELPS MEMORIAL HOSPITAL; PHELPS MEMORIAL HOSPITAL CENTER
Y,Northwell,112965586,hospital,Northwell Healthcare Inc,37,0,,NORTHWELL HEALTHCARE INC
Y,Northwell,112868878,hospital,Staten Island University Hospital,12,3,,STATEN ISLAND UNIVERISTY HOSPITAL; STATEN ISLAND UNIVERSITY HOSPITAL; STATEN ISLAND UNIVERSITY HOSPITAL NORTH SITE MENTA; STATEN ISLAND UNIVERSITY HOSPITAL-NORTH SITE; STATEN ISLAND UNIVERSITY HOSPITAL-SOUTH SITE
Y,Northwell,131624070,hospital,Lenox Hill Hospital,6,2,,LENOX HILL HOSPITAL
Y,Northwell,111562701,hospital,North Shore University Hospital,5,4,,LONG ISLAND JEWISH DIALYSIS CENTER; NORTH SHORE UNIVERSITY HO; NORTH SHORE UNIVERSITY HOSPITAL; NORTH SHORE UNIVERSITY HOSPITAL HEMO DIALYSIS; SYOSSET HOSPITAL
Y,Northwell,111633487,hospital,North Shore University Hospital at Glen Cove,3,0,,NORTH SHORE UNIV HOSP AT GLEN COVE
Y,Northwell,113241243,hospital,Plainview Hospital,2,0,,PLAINVIEW HOSPITAL
Y,Northwell,133775996,hospital,Lenox Hill Hospital,1,0,,LENOX HILL HOSP
Y,Northwell,111661359,hospital,Peconic Bay Medical Center,0,2,,PECONIC BAY HOMEHEALTH; PECONIC BAY MEDICAL CENTER
Y,Northwell,821883445,hospital,Phelps Hospital,0,1,user-confirmed: Phelps Hospital (Northwell); NPPES shows Brightwaters Gynecology PC billing under it,PHELPS MEMORIAL HOSPITAL ASSOCIATION
?,Northwell,133496674,hospital,Phelps Hospital,0,1,NPPES: Westchester Gastroenterology Assoc (payer lists as Phelps),PHELPS MEMORIAL HOSPITAL ASSOCIATION
Y,Northwell,274416017,hospital,Phelps Hospital,0,1,,PHELPS MEMORIAL HOSPITAL ASSOCIATION
Y,Northwell,453023019,physician group,North Shore-LIJ Medical PC (Northwell Health Physician Partners),8428,5,,NORTH SHORE LIJ HEALTH CARE; NORTH SHORE LIJ MEDICAL PC; NORTH SHORE LIJ MEDICAL PC.; NORTH SHORE-LIJ MEDICAL PC
Y,Northwell,275078717,physician group,North Shore-LIJ Cardiovascular Medicine,203,1,,"NORTH SHORE LIJ CARDIOVASCULAR ME; NORTH SHORE-LIJ CARDIOVASCULAR MEDICINE, P.C."
Y,Northwell,452661543,physician group,Lenox Hill Medical PC,35,3,,LENOX HILL HOSPITAL MEDICAL PC; LENOX HILL MEDICAL PC
Y,Northwell,113412370,physician group,Northwell Health Laboratories,1,1,,NORTHWELL HEALTH LABORATORIES
Y,Montefiore,010796859,,MONTEFIORE MEDICAL CENTER,61,0,"Montefiore Medical Center, NPPES all NY",MONTEFIORE MEDICAL CENTER
Y,Montefiore,263443304,,"ST. LUKE'S CORNWALL JV, LLC",0,1,Montefiore St. Luke's Cornwall JV,"ST. LUKE'S CORNWALL JV, LLC"
?,Mount Sinai,383906267,,MEDICINE DEPT OF MOUNT SINAI,50,1,"name matches, ownership unverified",MEDICINE DEPT OF MOUNT SINAI; MOUNT SINAI MAHHASSET MEDICAL; MOUNT SINAI MANHASSET MEDICAL
Y,Mount Sinai,474961193,,SOUTH NASSAU PHYSICIAN GROUP PC,45,0,Mount Sinai South Nassau physician group,SOUTH NASSAU PHYSICIAN GROUP PC
N,Mount Sinai,264069086,,MOUNT SINAI MEDICAL CTR CARDIOLOGY LLC,40,0,"Mount Sinai Medical Center, Miami FL",MOUNT SINAI MEDICAL CTR CARDIOLOGY LLC
Y,Mount Sinai,371603148,,MOUNT SINAI- MULTISPECIALTY PHYSICIANS,28,2,"Mount Sinai multispecialty physicians, NY",MOUNT SINAI- MULTISPECIALTY PHYSICIANS; MOUNT SINAI-MULTISPECIALTY PHYSICIANS; MT SINAI SCHOOL OF MEDICINE
Y,Mount Sinai,800756162,,MOUNT SINAI QUEENS FACULTY PRACTICE,28,1,Mount Sinai Queens faculty practice,MOUNT SINAI QUEENS FACULTY PRACTICE; MOUNT SINAI RADIOLOGY ASSOCIATES
N,Mount Sinai,262893302,,MOUNT SINAI MEDICAL CENTER UROLOGY LLC,27,0,"Mount Sinai Medical Center, Miami FL",MOUNT SINAI MEDICAL CENTER UROLOGY LLC
Y,Mount Sinai,113565450,,SOUTH NASSAU FAMILY MEDICINE,23,1,Mount Sinai South Nassau family medicine,SOUTH NASSAU FAMILY MEDICINE; SOUTH NASSAU FAMILY MEDICINE PC
Y,Mount Sinai,454799159,,SOUTH NASSAU MEDICAL GROUP PC,23,0,Mount Sinai South Nassau medical group,SOUTH NASSAU MEDICAL GROUP PC
Y,Mount Sinai,352678810,,ICAHN SCHOOL OF MEDICINE AT,22,1,NPPES: Icahn School of Medicine at Mount Sinai,ICAHN SCHOOL OF MEDICINE AT; ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
?,Mount Sinai,383958404,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,22,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
Y,Mount Sinai,262692377,,SOUTH NASSAU PHYSICIAN PRACTIC PC,21,1,Mount Sinai South Nassau physician practice,"SOUTH NASSAU PHYSICIAN PRACTIC PC; SOUTH NASSAU PHYSICIAN PRACTICE, PC"
N,Mount Sinai,863355115,,MOUNT SINAI VASCULAR INSTITU,14,0,Mount Sinai Miami FL,MOUNT SINAI VASCULAR INSTITU
Y,Mount Sinai,450537391,,MOUNT SINAI DIAGNOSTIC & TREATMENT CENTE,12,0,Mount Sinai Diagnostic & Treatment Center,MOUNT SINAI DIAGNOSTIC & TREATMENT CENTE
?,Mount Sinai,112706137,,SOUTH NASSAU DERMATOLOGY,11,1,"name matches, ownership unverified",SOUTH NASSAU DERMATOLOGY; SOUTH NASSAU DERMATOLOGY PC
Y,Mount Sinai,133988963,,BETH ISRAEL MED,10,0,"Beth Israel Medical Center, NY",BETH ISRAEL MED
Y,Mount Sinai,383931355,,ICAHN SCHOOL OF MEDICINE AT MOUNT S,9,6,NPPES: Icahn School of Medicine at Mount Sinai,ICAHN SCHOOL OF MEDICINE AT MOUNT S; ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; MT. SINAI PEDIATRICS; ORTHOPEDICS OF MOUNT SINAI SLR; SURGERY DEPT OF MT SINAI SLR; UROLOGY AT BETH ISRAEL MEDICAL CENTER
?,Mount Sinai,320456795,,ICAHN SCHOOL OF MEDICINE AT MOUNT,9,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT
?,Mount Sinai,611936379,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,5,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
N,Mount Sinai,203295727,,MOUNT SINAI MEDICAL CENTER PSYSICIAN PRA,5,0,Mount Sinai Miami FL,MOUNT SINAI MEDICAL CENTER PSYSICIAN PRA
Y,Mount Sinai,136171197,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,4,5,NPPES: Mount Sinai School of Medicine; 12 target NPIs,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; MOUNT SINAI GENETIC TESTING LABORATORY; MOUNT SINAI PATHOLOGY ASSOCIATES; MOUNT SINAI PATHOLOGY CONSULTANTS; MT SINAI TRANSFUSION MEDICAL ASSOC; MT SINAI- DIV MED GENETIC; MT SINAI/PEDIATRIC ENDOCRINOLOGY; MT. SINAI PATHOLOGY CONSULTANTS; MT. SINAI RADIOLOGY ASSOCIATES; MT. SINAI SCHOOL OF MEDICINE AMBULATORY SURGERY
?,Mount Sinai,113440790,,SOUTH NASSAU RADIOLOGY PC,4,0,"name matches, ownership unverified",SOUTH NASSAU RADIOLOGY PC
N,Mount Sinai,822152017,,MT SINAI WELLNESS CENTER,4,0,GA practice,MT SINAI WELLNESS CENTER
?,Mount Sinai,454517851,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
?,Mount Sinai,133970709,,BETH ISRAEL MEDICAL CENTER BIMC PAIN,2,0,"name matches, ownership unverified",BETH ISRAEL MEDICAL CENTER BIMC PAIN
N,Mount Sinai,990898367,,MOUNT SINAI DOCTORS WEIGHT LOSS CENTER LLC,2,0,TX practice,MOUNT SINAI DOCTORS WEIGHT LOSS CENTER LLC
?,Mount Sinai,205624927,,BETH ISRAEL MEDECIAL CENTER,2,0,"name matches, ownership unverified",BETH ISRAEL MEDECIAL CENTER
?,Mount Sinai,383657559,,SURGICAL SERVICES OF BETH ISRAEL MEDICAL,2,0,"name matches, ownership unverified",SURGICAL SERVICES OF BETH ISRAEL MEDICAL
N,Mount Sinai,263932464,,MOUNT SINAI INTENSIVISTS LLC,2,0,Mount Sinai Miami FL,MOUNT SINAI INTENSIVISTS LLC
?,Mount Sinai,113319620,,SOUTH NASSAU NEONATAL SERVICES P C,2,0,"name matches, ownership unverified",SOUTH NASSAU NEONATAL SERVICES P C
Y,Mount Sinai,371697648,,MOUNT SINAI BROOKLYN HEIGHTS MEDICAL,1,2,Mount Sinai Doctors Brooklyn Heights; NPPES Mount Sinai School of Medicine,MOUNT SINAI BROOKLYN HEIGHTS MEDICAL; MOUNT SINAI BROOKLYN HEIGHTS MEDICAL GROUP
?,Mount Sinai,271057159,,SOUTH NASSAU WALK-IN MEDICAL CARE,1,1,"name matches, ownership unverified",SOUTH NASSAU WALK-IN MEDICAL CARE; SOUTH NASSAU WALK-IN MEDICAL CARE PC
N,Mount Sinai,134941247,,BANKERS TRUST MT SINAI RAD,1,0,not a provider entity,BANKERS TRUST MT SINAI RAD
N,Mount Sinai,261408014,,MOUNT SINAI CARDIO-PRICARE LLC,1,0,Mount Sinai Miami FL,MOUNT SINAI CARDIO-PRICARE LLC
N,Mount Sinai,934782601,,MT SINAI PSYCHIATRIC SERVICES,1,0,NC practice,MT SINAI PSYCHIATRIC SERVICES
N,Mount Sinai,753048539,,MT SINAI UROLOGY,1,0,FL practice,MT SINAI UROLOGY
?,Mount Sinai,113492255,,MOUNT SINAI MANHASSET MEDICAL,0,4,"name matches, ownership unverified",MOUNT SINAI MANHASSET MEDICAL; MOUNT SINAI MARATHON MEDICAL-HOSPITALISTS; NORTH SHORE MEDICAL GROUP OF MOUNT SINAI; NORTH SHORE MEDICAL GROUP OF THE MT. SINAI
Y,Mount Sinai,800631086,,MOUNT SINAI MEDICAL ASSOCIATES,0,2,NPPES: Icahn School of Medicine at Mount Sinai,MOUNT SINAI MEDICAL ASSOCIATES
Y,Mount Sinai,300883618,,MOUNT SINAI DOCTORS CCSI,0,2,NPPES: Icahn School of Medicine at Mount Sinai,MOUNT SINAI DOCTORS CCSI
?,Mount Sinai,103020231,,BISLR MEDICAL GROUPS OF MOUNT SINAI,0,1,"name matches, ownership unverified",BISLR MEDICAL GROUPS OF MOUNT SINAI
?,Mount Sinai,112819860,,RADIOLOGICAL ASSOC. OF SOUTH NASSAU,0,1,"name matches, ownership unverified",RADIOLOGICAL ASSOC. OF SOUTH NASSAU
?,Mount Sinai,112898134,,NUCLEAR MEDICINE OF SOUTH NASSAU,0,1,"name matches, ownership unverified",NUCLEAR MEDICINE OF SOUTH NASSAU
?,Mount Sinai,113285460,,SOUTH NASSAU RADIATION ONCOLOGYSA,0,1,"name matches, ownership unverified",SOUTH NASSAU RADIATION ONCOLOGYSA
N,Mount Sinai,113564321,,CHIROPRACTIC CENTER OF MT. SINAI,0,1,"Mt. Sinai hamlet, chiropractor",CHIROPRACTIC CENTER OF MT. SINAI
?,Mount Sinai,133746346,,MT. SINAI- RIVERSIDE MEDICAL GROUP,0,1,"name matches, ownership unverified",MT. SINAI- RIVERSIDE MEDICAL GROUP
?,Mount Sinai,112925636,,MOUNT SINAI-MULTISPECIALTY PHYSICIANS,0,1,"name matches, ownership unverified",MOUNT SINAI-MULTISPECIALTY PHYSICIANS
?,Mount Sinai,113581988,,"SOUTH NASSAU PRIMARY MEDICAL CARE, PC",0,1,"name matches, ownership unverified","SOUTH NASSAU PRIMARY MEDICAL CARE, PC"
?,Mount Sinai,814237728,,SOUTH NASSAU PHYSICAL THERAPY P.C.,0,1,"name matches, ownership unverified",SOUTH NASSAU PHYSICAL THERAPY P.C.
N,Mount Sinai,112980257,,PLAZA FOOT CARE MT SINAI,0,1,"Mt. Sinai is a hamlet on Long Island; podiatry practice, not the system",PLAZA FOOT CARE MT SINAI
?,Mount Sinai,205826243,,MIDWIFERY GROUP OF BETH ISRAEL MED,0,1,"name matches, ownership unverified",MIDWIFERY GROUP OF BETH ISRAEL MED
