search_term,npi,org_name,taxonomy,address,city,state,zip,system
Montefiore,1134892847,MONTEFIORE EINSTEIN ADVANCED CARE,"Internal Medicine, Cardiovascular Disease",555 TAXTER RD,ELMSFORD,NY,10523,Montefiore
Montefiore,1073770277,MONTEFIORE MED CTR-KLAU2 PSYCH,Psychiatric Unit,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1164689360,MONTEFIORE MED CTR-LUBIN REHAB,Rehabilitation Unit,1825 EASTCHESTER RD,BRONX,NY,10461,Montefiore
Montefiore,1154588358,MONTEFIORE MED CTR-MS DIALYSIS,"Clinic/Center, End-Stage Renal Disease (ESRD) Treatment",111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1962849869,MONTEFIORE MEDCIAL CENTER,Clinic/Center,4256 BRONX BLVD,BRONX,NY,10466,Montefiore
Montefiore,1285266528,MONTEFIORE MEDCIAL CENTER,Clinic/Center,1577 HONE AVE,BRONX,NY,10461,Montefiore
Montefiore,1811529159,MONTEFIORE MEDCIAL CENTER,Clinic/Center,421 HUGUENOT ST,NEW ROCHELLE,NY,10801,Montefiore
Montefiore,1891327813,MONTEFIORE MEDCIAL CENTER,Clinic/Center,3860 E TREMONT AVE,BRONX,NY,10465,Montefiore
Montefiore,1790974897,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1750528188,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,3750 BAYCHESTER AVE,BRONX,NY,10466,Montefiore
Montefiore,1881998003,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,1625 POPLAR ST,BRONX,NY,10461,Montefiore
Montefiore,1801147301,MONTEFIORE MEDICAL CENTER,Chronic Disease Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1871875237,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,600 E 233RD ST,BRONX,NY,10466,Montefiore
Montefiore,1710274576,MONTEFIORE MEDICAL CENTER,Student in an Organized Health Care Education/Training Program,3411 WAYNE AVE APT 11H,BRONX,NY,10467,Montefiore
Montefiore,1003195652,MONTEFIORE MEDICAL CENTER,"General Acute Care Hospital, Children",4 PONDVIEW CLOSE,CHAPPAQUA,NY,10514,Montefiore
Montefiore,1497146419,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,1400 PELHAM PKWY S,BRONX,NY,10461,Montefiore
Montefiore,1962173062,MONTEFIORE MEDICAL CENTER,Physical Therapist,350 S MAIN ST STE 1,NEW CITY,NY,10956,Montefiore
Montefiore,1477168870,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Community Health",111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1396407839,MONTEFIORE MEDICAL CENTER,Physical Therapist,23275-B NEW YORK AVE,HUTINGTON STATION,NY,11746,Montefiore
Montefiore,1407414469,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Cardiovascular Disease",170 MAPLE AVE,WHITE PLAINS,NY,10601,Montefiore
Montefiore,1114604691,MONTEFIORE MEDICAL CENTER,Occupational Therapist,657 E MAIN ST STE 3,MOUNT KISCO,NY,10549,Montefiore
Montefiore,1457035784,MONTEFIORE MEDICAL CENTER,Occupational Therapist,4701 QUEENS BLVD,SUNNYSIDE,NY,11104,Montefiore
Montefiore,1740965474,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Radiology",3050 CORLEAR AVE,BRONX,NY,10463,Montefiore
Montefiore,1982860953,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,600 E 233RD ST,BRONX,NY,10466,Montefiore
Montefiore,1336419183,MONTEFIORE MEDICAL CENTER,Clinic/Center,100 CORPORATE DR,YONKERS,NY,10701,Montefiore
Montefiore,1487848156,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",804 EAST 138TH STREET,BRONX,NY,10454,Montefiore
Montefiore,1396409090,MONTEFIORE MEDICAL CENTER,Physical Therapist,785 STATE ROUTE 17M STE 1,MONROE,NY,10950,Montefiore
Montefiore,1821752528,MONTEFIORE MEDICAL CENTER,Physical Therapist,27 SMITH ST FL 5,BROOKLYN,NY,11201,Montefiore
Montefiore,1427712124,MONTEFIORE MEDICAL CENTER,Physical Therapist,521 ROUTE 111 STE 107,HAUPPAUGE,NY,11788,Montefiore
Montefiore,1104649292,MONTEFIORE MEDICAL CENTER,Physical Therapist,655 E MONTAUK HWY STE 23,EAST PATCHOGUE,NY,11772,Montefiore
Montefiore,1154211498,MONTEFIORE MEDICAL CENTER,Physical Therapist,22001 JAMAICA AVE,QUEENS VILLAGE,NY,11428,Montefiore
Montefiore,1841099710,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",1701 FULTON AVE,BRONX,NY,10457,Montefiore
Montefiore,1487454963,MONTEFIORE MEDICAL CENTER,Physical Therapist,226 7TH ST STE 101,GARDEN CITY,NY,11530,Montefiore
Montefiore,1659446680,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Federally Qualified Health Center (FQHC)",111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1306728688,MONTEFIORE MEDICAL CENTER,Physical Therapist,9777 QUEENS BLVD STE 910,REGO PARK,NY,11374,Montefiore
Montefiore,1164269627,MONTEFIORE MEDICAL CENTER,Physical Therapist,583 STATE ROUTE 32 STE 2U,HIGHLAND MILLS,NY,10930,Montefiore
Montefiore,1275370736,MONTEFIORE MEDICAL CENTER,Physical Therapist,84 E MAIN ST STE 1,WASHINGTONVILLE,NY,10992,Montefiore
Montefiore,1548083645,MONTEFIORE MEDICAL CENTER,Physical Therapist,2568 ROUTE 212,WOODSTOCK,NY,12498,Montefiore
Montefiore,1780407866,MONTEFIORE MEDICAL CENTER,Physical Therapist,434 OLD POST RD,BEDFORD,NY,10506,Montefiore
Montefiore,1447073531,MONTEFIORE MEDICAL CENTER,Physical Therapist,1987 STATE ROUTE 52 STE 11,LIBERTY,NY,12754,Montefiore
Montefiore,1336962422,MONTEFIORE MEDICAL CENTER,Physical Therapist,111 MAIDEN LN,KINGSTON,NY,12401,Montefiore
Montefiore,1699598797,MONTEFIORE MEDICAL CENTER,Physical Therapist,785 STATE ROUTE 17M STE 16,MONROE,NY,10950,Montefiore
Montefiore,1952124059,MONTEFIORE MEDICAL CENTER,Physical Therapist,181 JERSEY AVE,PORT JERVIS,NY,12771,Montefiore
Montefiore,1134931025,MONTEFIORE MEDICAL CENTER,Physical Therapist,495 SCHUTT ROAD EXT STE 9,MIDDLETOWN,NY,10940,Montefiore
Montefiore,1972315869,MONTEFIORE MEDICAL CENTER,Physical Therapist,444 E BOSTON POST RD STE 101,MAMARONECK,NY,10543,Montefiore
Montefiore,1831872860,MONTEFIORE MEDICAL CENTER,Physical Therapist,435 W 31ST ST,NEW YORK,NY,10001,Montefiore
Montefiore,1285414250,MONTEFIORE MEDICAL CENTER,Physical Therapist,1012 RAILROAD AVE,WOODMERE,NY,11598,Montefiore
Montefiore,1841437209,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",3544 JEROME AVE,BRONX,NY,10467,Montefiore
Montefiore,1669804266,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Medical Oncology",60 E 208TH ST,BRONX,NY,10467,Montefiore
Montefiore,1396147641,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",1980 LAFAYETTE AVE,BRONX,NY,10473,Montefiore
Montefiore,1669237038,MONTEFIORE MEDICAL CENTER,Physical Therapist,7215 GRAND AVE,MASPETH,NY,11378,Montefiore
Montefiore,1255565925,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,3347 STEUBEN AVE,BRONX,NY,10467,Montefiore
Montefiore,1164768206,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",1501 JEROME AVE,BRONX,NY,10452,Montefiore
Montefiore,1811412554,MONTEFIORE MEDICAL CENTER,Clinic/Center,1250 WATERS PL STE 1201,BRONX,NY,10461,Montefiore
Montefiore,1457631004,MONTEFIORE MEDICAL CENTER,Clinic/Center,2814 MIDDLETOWN RD,BRONX,NY,10461,Montefiore
Montefiore,1790060606,MONTEFIORE MEDICAL CENTER,Clinic/Center,890 PROSPECT AVE,BRONX,NY,10459,Montefiore
Montefiore,1326232042,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",3400 BAINBRIDGE AVE,BRONX,NY,10467,Montefiore
Montefiore,1194981084,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",33 W MAIN ST,ELMSFORD,NY,10523,Montefiore
Montefiore,1235324534,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",804 E 138TH ST,BRONX,NY,10454,Montefiore
Montefiore,1740446624,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",1419 SHAKESPEARE AVE,BRONX,NY,10452,Montefiore
Montefiore,1659537538,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",4170 BRONX BLVD,BRONX,NY,10466,Montefiore
Montefiore,1255568838,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",979 ROGERS PL,BRONX,NY,10459,Montefiore
Montefiore,1548641632,MONTEFIORE MEDICAL CENTER,Internal Medicine,3011 BOSTON RD,BRONX,NY,10469,Montefiore
Montefiore,1659156255,MONTEFIORE MEDICAL CENTER,"Pharmacy, Community/Retail Pharmacy",100 CORPORATE BLVD STE 111,YONKERS,NY,10701,Montefiore
Montefiore,1841518941,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,1628 EASTCHESTER RD,BRONX,NY,10461,Montefiore
Montefiore,1548514532,MONTEFIORE MEDICAL CENTER,Internal Medicine,730 BROOK AVENUE,BRONX,NY,10455,Montefiore
Montefiore,1477415669,MONTEFIORE MEDICAL CENTER,Physical Therapist,4427 DOUGLASTON PKWY,DOUGLASTON,NY,11363,Montefiore
Montefiore,1356201750,MONTEFIORE MEDICAL CENTER,Physical Therapist,961 E 174TH ST STE 42,BRONX,NY,10460,Montefiore
Montefiore,1700746112,MONTEFIORE MEDICAL CENTER,Physical Therapist,4446 BROADWAY,NEW YORK,NY,10040,Montefiore
Montefiore,1275710519,MONTEFIORE MEDICAL CENTER,Dentist,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1962693739,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1588859870,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",111 EAST 210TH STREET,BRONX,NY,10467,Montefiore
Montefiore,1275763203,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,1825 EASTCHESTER RD # 7NW,BRONX,NY,10461,Montefiore
Montefiore,1538310503,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Oncology",111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1336427574,MONTEFIORE MEDICAL CENTER,"General Acute Care Hospital, Children",3415 BAINBRIDGE AVE,BRONX,NY,10467,Montefiore
Montefiore,1992331482,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",250 THURMAN MUNSON WAY #236,BRONX,NY,10451,Montefiore
Montefiore,1659082170,MONTEFIORE MEDICAL CENTER,Physical Therapist,490 ROUTE 304,NEW CITY,NY,10956,Montefiore
Montefiore,1710698238,MONTEFIORE MEDICAL CENTER,Physical Therapist,27 SMITH ST,BROOKLYN,NY,11201,Montefiore
Montefiore,1740911353,MONTEFIORE MEDICAL CENTER,Durable Medical Equipment & Medical Supplies,MOTION PT AT NEW CITY,NEW CITY,NY,10956,Montefiore
Montefiore,1659002269,MONTEFIORE MEDICAL CENTER,Durable Medical Equipment & Medical Supplies,MOTION PT AT MONROE,MONROE,NY,10950,Montefiore
Montefiore,1942910815,MONTEFIORE MEDICAL CENTER,Physical Therapist,9932 66TH RD,REGO PARK,NY,11374,Montefiore
Montefiore,1124780630,MONTEFIORE MEDICAL CENTER,Physical Therapist,244-250 W 54TH STREET,NEW YORK,NY,10023,Montefiore
Montefiore,1952065658,MONTEFIORE MEDICAL CENTER,Physical Therapist,657 E MAIN ST STE 3,MOUNT KISCO,NY,10549,Montefiore
Montefiore,1033873740,MONTEFIORE MEDICAL CENTER,Physical Therapist,1600 STEWART AVE STE 110,WESTBURY,NY,11590,Montefiore
Montefiore,1255924759,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",579 WARBURTON AVE STE 112,YONKERS,NY,10701,Montefiore
Montefiore,1174289433,MONTEFIORE MEDICAL CENTER,Physical Therapist,1818 NEWKIRK AVE APT D,BROOKLYN,NY,11226,Montefiore
Montefiore,1124799226,MONTEFIORE MEDICAL CENTER,Physical Therapist,70 MAPLE AVE,ROCKVILLE CENTRE,NY,11570,Montefiore
Montefiore,1487984969,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1043543580,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,3400 BAINBRIDGE AVE FL 3,BRONX,NY,10467,Montefiore
Montefiore,1982388211,MONTEFIORE MEDICAL CENTER,Occupational Therapist,675 MCLEAN AVE,YONKERS,NY,10704,Montefiore
Montefiore,1902033756,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",979 ROGERS PL,BRONX,NY,10459,Montefiore
Montefiore,1033559828,MONTEFIORE MEDICAL CENTER,Psychologist,1967 TURNBULL AVE,BRONX,NY,10473,Montefiore
Montefiore,1891869541,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Federally Qualified Health Center (FQHC)",871 PROSPECT AVE,BRONX,NY,10459,Montefiore
Montefiore,1407011786,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",1419 SHAKESPEARE AVE,BRONX,NY,10452,Montefiore
Montefiore,1215460159,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Urgent Care",1010 CENTRAL PARK AVE,YONKERS,NY,10704,Montefiore
Montefiore,1043644701,MONTEFIORE MEDICAL CENTER,Clinic/Center,260 E 188TH ST,BRONX,NY,10458,Montefiore
Montefiore,1427185057,MONTEFIORE MEDICAL CENTER,"Pharmacy, Community/Retail Pharmacy",111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1467601948,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",600 E 233RD ST,BRONX,NY,10466,Montefiore
Montefiore,1205092129,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",2115 STARLING AVE,BRONX,NY,10462,Montefiore
Montefiore,1770978892,MONTEFIORE MEDICAL CENTER,Clinic/Center,933 MAMARONECK AVE,MAMARONECK,NY,10543,Montefiore
Montefiore,1477040566,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",3710 BARNES AVE,BRONX,NY,10467,Montefiore
Montefiore,1891154886,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Methadone Clinic",1510 WATERS PL,BRONX,NY,10461,Montefiore
Montefiore,1871782979,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,1348 E 59TH ST,BROOKLYN,NY,11234,Montefiore
Montefiore,1780907170,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",240 E 172ND ST,BRONX,NY,10457,Montefiore
Montefiore,1164699070,MONTEFIORE MEDICAL CENTER,Clinical Medical Laboratory,141 S CENTRAL AVE,HARTSDALE,NY,10530,Montefiore
Montefiore,1467618348,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",4234 BRONX BLVD,BRONX,NY,10466,Montefiore
Montefiore,1760720106,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Medical Oncology",984 N BROADWAY,YONKERS,NY,10701,Montefiore
Montefiore,1033502828,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,150 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1942667340,MONTEFIORE MEDICAL CENTER,Chronic Disease Hospital,3400 BAINBRIDGE MMC,BRONX,NY,10467,Montefiore
Montefiore,1518433440,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",1449 SHAKESPEARE AVE,BRONX,NY,10452,Montefiore
Montefiore,1669294864,MONTEFIORE MEDICAL CENTER,Physical Therapist,4250 HEMPSTEAD TPKE,BETHPAGE,NY,11714,Montefiore
Montefiore,1619400132,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Urgent Care",2532 GRAND CONCOURSE,BRONX,NY,10458,Montefiore
Montefiore,1083079255,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Student Health",925 ASTOR AVE,BRONX,NY,10469,Montefiore
Montefiore,1801052790,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",4234 BRONX BLVD,BRONX,NY,10466,Montefiore
Montefiore,1154051225,MONTEFIORE MEDICAL CENTER,Durable Medical Equipment & Medical Supplies,1250 WATERS PLACE,BRONX,NY,10461,Montefiore
Montefiore,1962666297,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,1695 EASTCHESTER RD # A,BRONX,NY,10461,Montefiore
Montefiore,1205021490,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",853 LONGWOOD AVE,BRONX,NY,10459,Montefiore
Montefiore,1992961882,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",3250 WESTCHESTER AVE,BRONX,NY,10461,Montefiore
Montefiore,1831946359,MONTEFIORE MEDICAL CENTER,Orthopaedic Surgery,3 CENTEROCK RD,WEST NYACK,NY,10994,Montefiore
Montefiore,1205726544,MONTEFIORE MEDICAL CENTER,Physical Therapist,765 BURKE AVE,BRONX,NY,10467,Montefiore
Montefiore,1598436693,MONTEFIORE MEDICAL CENTER,Physical Therapist,14 ORANGETOWN SHOPPING CTR,ORANGEBURG,NY,10962,Montefiore
Montefiore,1629968961,MONTEFIORE MEDICAL CENTER,Physical Therapist,3244 31ST ST,ASTORIA,NY,11106,Montefiore
Montefiore,1154112761,MONTEFIORE MEDICAL CENTER,Physical Therapist,3434 CARMAN RD,SCHENECTADY,NY,12303,Montefiore
Montefiore,1679385579,MONTEFIORE MEDICAL CENTER,Physical Therapist,127 STATE ROUTE 302 STE 2,PINE BUSH,NY,12566,Montefiore
Montefiore,1295547107,MONTEFIORE MEDICAL CENTER,Physical Therapist,187 E MARKET ST STE 142,RHINEBECK,NY,12572,Montefiore
Montefiore,1558173468,MONTEFIORE MEDICAL CENTER,Physical Therapist,2880 US HIGHWAY 9 STE 1,VALATIE,NY,12184,Montefiore
Montefiore,1790585271,MONTEFIORE MEDICAL CENTER,Physical Therapist,1533 UNION ST,SCHENECTADY,NY,12309,Montefiore
Montefiore,1952476988,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1811857212,MONTEFIORE MEDICAL CENTER,Physical Therapist,1254 CENTRAL PARK AVE STE 3,YONKERS,NY,10704,Montefiore
Montefiore,1811668908,MONTEFIORE MEDICAL CENTER,Physical Therapist,2322 30TH AVE,ASTORIA,NY,11102,Montefiore
Montefiore,1316618416,MONTEFIORE MEDICAL CENTER,Physical Therapist,1880 ROUTE 6,CARMEL,NY,10512,Montefiore
Montefiore,1053794875,MONTEFIORE MEDICAL CENTER,Clinic/Center,200 CORPORATE BLVD S,YONKERS,NY,10701,Montefiore
Montefiore,1568028496,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Hematology & Oncology",951 BROOK AVE,BRONX,NY,10451,Montefiore
Montefiore,1952940546,MONTEFIORE MEDICAL CENTER,Surgery,1254 CENTRAL PARK AVE,YONKERS,NY,10704,Montefiore
Montefiore,1831851385,MONTEFIORE MEDICAL CENTER,Physical Therapist,11835 QUEENS BLVD STE 1550,FOREST HILLS,NY,11375,Montefiore
Montefiore,1205507308,MONTEFIORE MEDICAL CENTER,Physical Therapist,340 DOGWOOD AVE,FRANKLIN SQUARE,NY,11010,Montefiore
Montefiore,1356012454,MONTEFIORE MEDICAL CENTER,Physical Therapist,400 WESTAGE BUSINESS CTR DR STE 106,FISHKILL,NY,12524,Montefiore
Montefiore,1154092252,MONTEFIORE MEDICAL CENTER,Physical Therapist,158 BROADWAY,BROOKLYN,NY,11211,Montefiore
Montefiore,1639840739,MONTEFIORE MEDICAL CENTER,Physical Therapist,3202 BAINBRIDGE AVE APT D,BRONX,NY,10467,Montefiore
Montefiore,1790456804,MONTEFIORE MEDICAL CENTER,Physical Therapist,1086 N BROADWAY,YONKERS,NY,10701,Montefiore
Montefiore,1689330953,MONTEFIORE MEDICAL CENTER,Physical Therapist,8 N AQUEDUCT LN,IRVINGTON,NY,10533,Montefiore
Montefiore,1962133579,MONTEFIORE MEDICAL CENTER,Durable Medical Equipment & Medical Supplies,MOTION PT AT VALHALLA,VALHALLA,NY,10595,Montefiore
Montefiore,1366653974,MONTEFIORE MEDICAL CENTER,"General Acute Care Hospital, Critical Access",48 UNION AVE,AMITYVILLE,NY,11701,Montefiore
Montefiore,1063606739,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",111 EAST 210TH STREET,BRONX,NY,10467,Montefiore
Montefiore,1992015937,MONTEFIORE MEDICAL CENTER,Chronic Disease Hospital,1500 WATERS PL,BRONX,NY,10461,Montefiore
Montefiore,1154644607,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,4315 WEBSTER AVE,BRONX,NY,10470,Montefiore
Montefiore,1013222512,MONTEFIORE MEDICAL CENTER,Chronic Disease Hospital,1500 WATERS PL,BRONX,NY,10461,Montefiore
Montefiore,1194122374,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1962895078,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,150 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1548647282,MONTEFIORE MEDICAL CENTER,"General Acute Care Hospital, Women",111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1114201993,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1164234043,MONTEFIORE MEDICAL CENTER,Physical Therapist,2403 STATE ROUTE 7 STE 5,COBLESKILL,NY,12043,Montefiore
Montefiore,1821800707,MONTEFIORE MEDICAL CENTER,Physical Therapist,747 MADISON AVE STE 1,ALBANY,NY,12208,Montefiore
Montefiore,1922810811,MONTEFIORE MEDICAL CENTER,Physical Therapist,162 E ROUTE 59,NANUET,NY,10954,Montefiore
Montefiore,1629880521,MONTEFIORE MEDICAL CENTER,Physical Therapist,3141 ROUTE 9W STE 200,NEW WINDSOR,NY,12553,Montefiore
Montefiore,1164234068,MONTEFIORE MEDICAL CENTER,Physical Therapist,3051 LONG BEACH RD STE 4,OCEANSIDE,NY,11572,Montefiore
Montefiore,1598588691,MONTEFIORE MEDICAL CENTER,Physical Therapist,246 MAIN ST STE 8,NEW PALTZ,NY,12561,Montefiore
Montefiore,1568285658,MONTEFIORE MEDICAL CENTER,Physical Therapist,2050 E MAIN ST STE 4,CORTLANDT MANOR,NY,10567,Montefiore
Montefiore,1366265464,MONTEFIORE MEDICAL CENTER,Physical Therapist,1825 COMMERCE ST STE 1,YORKTOWN HEIGHTS,NY,10598,Montefiore
Montefiore,1134806656,MONTEFIORE MEDICAL CENTER,Occupational Therapist,28 B INDIAN ROCK PLAZA,MONTEBELLO,NY,10901,Montefiore
Montefiore,1730345653,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",4350 VAN CORTLANDT PARK E,BRONX,NY,10470,Montefiore
Montefiore,1316435498,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Cardiovascular Disease",20 CEDAR ST,NEW ROCHELLE,NY,10801,Montefiore
Montefiore,1720484769,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Medical Oncology",1624 CROSBY AVE,BRONX,NY,10461,Montefiore
Montefiore,1063278299,MONTEFIORE MEDICAL CENTER,Orthopaedic Surgery,BLOOMING GROVE TURNPIKE AT 219,NEW WINDSOR,NY,12553,Montefiore
Montefiore,1164776159,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",730 BROOK AVENUE,BRONX,NY,10455,Montefiore
Montefiore,1689006538,MONTEFIORE MEDICAL CENTER,"Internal Medicine, Medical Oncology",1915-25 CENTRAL PARK AVENUE,YONKERS,NY,10710,Montefiore
Montefiore,1427466283,MONTEFIORE MEDICAL CENTER,General Acute Care Hospital,4487 3RD AVE,BRONX,NY,10457,Montefiore
Montefiore,1003142571,MONTEFIORE MEDICAL CENTER,"Rehabilitation, Substance Use Disorder Unit",260 E 161ST ST,BRONX,NY,10451,Montefiore
Montefiore,1376810010,MONTEFIORE MEDICAL CENTER,Clinic/Center,730 CONCOURSE VILLAGE WEST,BRONX,NY,10451,Montefiore
Montefiore,1366630535,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Primary Care",1510 WATERS PLACE,BRONX,NY,10461,Montefiore
Montefiore,1396991790,MONTEFIORE MEDICAL CENTER,"Clinic/Center, Multi-Specialty",4401 BRONX BLVD,BRONX,NY,10470,Montefiore
